status	h3k27me3_percentile	h3k36me3_percentile
BAE	0.067841144	0.638482081
BAE	0.099457271	0.965842522
BAE	0.451068229	0.789972433
BAE	0.127627498	0.753747416
BAE	0.382279462	0.931986561
MAE	0.666480014	0.454427981
BAE	0.381590283	0.656142316
BAE	0.409674363	0.606952102
BAE	0.186767746	0.791480014
BAE	0.490652998	0.801257753
BAE	0.332744659	0.666523088
BAE	0.31146623	0.625818401
BAE	0.375129221	0.824431427
BAE	0.39675224	0.868452791
BAE	0.363413163	0.521709166
BAE	0.409458994	0.601783253
BAE	0.180651275	0.611388697
BAE	0.286268091	0.864834597
BAE	0.20188663	0.660363542
BAE	0.168676775	0.703437285
BAE	0.112250172	0.830246382
BAE	0.234407305	0.744658856
BAE	0.467737767	0.589421089
BAE	0.16609235	0.909674363
MAE	0.436035493	0.617332874
BAE	0.120821847	0.913809442
BAE	0.231736733	0.709166092
MAE	0.959123019	0.166867677
BAE	0.270890765	0.540015507
BAE	0.527351826	0.509002412
MAE	0.70925224	0.233459683
MAE	0.789929359	0.347088215
BAE	0.165876981	0.948182288
BAE	0.301300827	0.644167815
MAE	0.783468298	0.48526878
BAE	0.050310131	0.565859752
BAE	0.19912991	0.929832874
BAE	0.167643005	0.907736044
MAE	0.637232943	0.152481048
BAE	0.439481392	0.784674363
BAE	0.161397312	0.81353377
BAE	0.091660924	0.579212612
BAE	0.376981392	0.960329083
BAE	0.286871123	0.630944176
BAE	0.378445899	0.624612336
BAE	0.150715024	0.913206409
BAE	0.42276878	0.694822536
MAE	0.899164369	0.271795314
BAE	0.218082357	0.907176085
BAE	0.333692281	0.753402826
BAE	0.113068573	0.688361475
BAE	0.460199862	0.727429359
BAE	0.224069607	0.822708477
BAE	0.442841144	0.914929359
BAE	0.267272571	0.727860096
BAE	0.103893866	0.859708822
BAE	0.322622329	0.800310131
BAE	0.38443315	0.670916609
BAE	0.523345968	0.470365265
BAE	0.340196416	0.726654032
BAE	0.060130944	0.744400414
BAE	0.151102688	0.732770503
MAE	0.32585286	0.743065127
BAE	0.166867677	0.720709855
BAE	0.14330634	0.853506203
BAE	0.233115093	0.690084425
BAE	0.458821502	0.617677464
BAE	0.115265334	0.606650586
MAE	0.770890765	0.33356306
MAE	0.289326327	0.680780496
MAE	0.589291868	0.307374225
BAE	0.337008959	0.756633356
MAE	0.116126809	0.918547553
BAE	0.121898691	0.891626465
BAE	0.381116471	0.898044452
BAE	0.118969676	0.933020331
BAE	0.201800482	0.79880255
BAE	0.232210544	0.964421089
BAE	0.306038939	0.937672295
BAE	0.414584769	0.782606823
MAE	0.466100965	0.831753963
BAE	0.107038249	0.802248449
BAE	0.178971399	0.865265334
BAE	0.281400758	0.767703308
BAE	0.13662991	0.875646106
MAE	0.888266713	0.276878015
MAE	0.782563749	0.444348725
BAE	0.160923501	0.905970021
MAE	0.099155755	0.709381461
BAE	0.220063749	0.731133701
BAE	0.431641971	0.762835975
MAE	0.677506892	0.338430393
BAE	0.316850448	0.927205376
