Genes dropped due to baseline enrichment beneath the 0.05 percentile and below1mean value
gene_name	low_baseline_mark
AK2	h3k36me3_body
AK3	h3k36me3_body
AK4	h3k36me3_body
AK5	h3k36me3_body
AK6	h3k36me3_body
AK7	h3k36me3_body
AK8	h3k36me3_body
AK9	h3k36me3_body
AKAIN1	h3k36me3_body
AKAP1	h3k36me3_body
AKAP10	h3k36me3_body
AKAP11	h3k36me3_body
AKAP12	h3k36me3_body
AKAP14	h3k36me3_body
AKAP17A	h3k36me3_body
AKAP17A	h3k36me3_body
AKAP2	h3k36me3_body
AKAP3	h3k36me3_body
AKAP4	h3k36me3_body
AKAP5	h3k36me3_body
AKAP6	h3k36me3_body
AKAP7	h3k36me3_body
AKAP8	h3k36me3_body
AKAP8L	h3k36me3_body
AKAP9	h3k36me3_body
AKIP1	h3k36me3_body
AKIRIN1	h3k36me3_body
AKIRIN2	h3k36me3_body
AKNA	h3k36me3_body
AKNAD1	h3k36me3_body
AKR1A1	h3k36me3_body
AKR1B1	h3k36me3_body
AKR1B10	h3k36me3_body
AKR1B15	h3k36me3_body
AKR1C1	h3k36me3_body
AKR1C2	h3k36me3_body
AKR1C3	h3k36me3_body
AKR1C4	h3k36me3_body
AKR1C6P	h3k36me3_body
AKR1C8P	h3k36me3_body
AKR1D1	h3k36me3_body
AKR1E2	h3k36me3_body
AKR7A2	h3k36me3_body
AKR7A2P1	h3k36me3_body
AKR7A3	h3k36me3_body
AKR7L	h3k36me3_body
AKT1	h3k36me3_body
AKT1S1	h3k36me3_body
AKT2	h3k36me3_body
AKT3	h3k36me3_body
AKTIP	h3k36me3_body
ALAD	h3k36me3_body
ALAS1	h3k36me3_body
ALAS2	h3k36me3_body
ALB	h3k36me3_body
ALCAM	h3k36me3_body
ALDH16A1	h3k36me3_body
ALDH18A1	h3k36me3_body
ALDH1A1	h3k36me3_body
ALDH1B1	h3k36me3_body
ALDH1L1	h3k36me3_body
ALDH1L1-AS1	h3k36me3_body
ALDH1L1-AS2	h3k36me3_body
ALDH1L2	h3k36me3_body
ALDH2	h3k36me3_body
ALDH3A1	h3k36me3_body
ALDH3A2	h3k36me3_body
ALDH3B1	h3k36me3_body
ALDH3B2	h3k36me3_body
ALDH4A1	h3k36me3_body
ALDH5A1	h3k36me3_body
ALDH6A1	h3k36me3_body
ALDH7A1	h3k36me3_body
ALDH8A1	h3k36me3_body
ALDH9A1	h3k36me3_body
ALDOA	h3k36me3_body
ALDOB	h3k36me3_body
ALDOC	h3k36me3_body
ALG1	h3k36me3_body
ALG10	h3k36me3_body
ALG10B	h3k36me3_body
ALG11	h3k36me3_body
ALG12	h3k36me3_body
ALG13	h3k36me3_body
ALG14	h3k36me3_body
ALG1L	h3k36me3_body
ALG1L2	h3k36me3_body
ALG1L9P	h3k36me3_body
ALG2	h3k36me3_body
ALG3	h3k36me3_body
ALG5	h3k36me3_body
ALG6	h3k36me3_body
ALG8	h3k36me3_body
ALG9	h3k36me3_body
ALK	h3k36me3_body
ALKBH1	h3k36me3_body
ALKBH2	h3k36me3_body
ALKBH3	h3k36me3_body
ALKBH3-AS1	h3k36me3_body
ALKBH4	h3k36me3_body
ALKBH5	h3k36me3_body
ALKBH6	h3k36me3_body
ALKBH7	h3k36me3_body
ALKBH8	h3k36me3_body
ALLC	h3k36me3_body
ALMS1	h3k36me3_body
ALMS1-IT1	h3k36me3_body
ALMS1P1	h3k36me3_body
ALOX12	h3k36me3_body
ALOX12-AS1	h3k36me3_body
ALOX12B	h3k36me3_body
ALOX12P2	h3k36me3_body
ALOX15	h3k36me3_body
ALOX15B	h3k36me3_body
ALOX15P1	h3k36me3_body
ALOX5	h3k36me3_body
ALOX5AP	h3k36me3_body
ALOXE3	h3k36me3_body
ALPI	h3k36me3_body
ALPK1	h3k36me3_body
ALPK2	h3k36me3_body
ALPL	h3k36me3_body
ALPP	h3k36me3_body
ALPPL2	h3k36me3_body
ALS2	h3k36me3_body
ALS2CL	h3k36me3_body
ALS2CR11	h3k36me3_body
ALS2CR12	h3k36me3_body
ALX1	h3k36me3_body
ALX3	h3k36me3_body
ALX4	h3k36me3_body
ALYREF	h3k36me3_body
AMACR	h3k36me3_body
AMBN	h3k36me3_body
AMBP	h3k36me3_body
AMBRA1	h3k36me3_body
AMD1	h3k36me3_body
AMDHD1	h3k36me3_body
AMDHD2	h3k36me3_body
AMELX	h3k36me3_body
AMELY	h3k36me3_body
AMER1	h3k36me3_body
AMER2	h3k36me3_body
AMER3	h3k36me3_body
AMFR	h3k36me3_body
AMH	h3k36me3_body
AMHR2	h3k36me3_body
AMIGO1	h3k36me3_body
AMIGO2	h3k36me3_body
AMIGO3	h3k36me3_body
AMMECR1	h3k36me3_body
AMMECR1L	h3k36me3_body
AMN	h3k36me3_body
AMN1	h3k36me3_body
AMOT	h3k36me3_body
AMOTL1	h3k36me3_body
AMOTL2	h3k36me3_body
AMPD1	h3k36me3_body
AMPD2	h3k36me3_body
AMPD3	h3k36me3_body
AMPH	h3k36me3_body
AMT	h3k36me3_body
AMTN	h3k36me3_body
AMY1A	h3k36me3_body
AMY1B	h3k36me3_body
AMY1C	h3k36me3_body
AMY2A	h3k36me3_body
AMY2B	h3k36me3_body
AMZ1	h3k36me3_body
AMZ2	h3k36me3_body
AMZ2P1	h3k36me3_body
ANAPC1	h3k36me3_body
ANAPC10	h3k36me3_body
ANAPC11	h3k36me3_body
ANAPC13	h3k36me3_body
ANAPC15	h3k36me3_body
ANAPC16	h3k36me3_body
ANAPC1P1	h3k36me3_body
ANAPC2	h3k36me3_body
ANAPC4	h3k36me3_body
ANAPC5	h3k36me3_body
ANAPC7	h3k36me3_body
ANG	h3k36me3_body
ANGEL1	h3k36me3_body
ANGEL2	h3k36me3_body
ANGPT1	h3k36me3_body
ANGPT2	h3k36me3_body
ANGPT4	h3k36me3_body
ANGPTL1	h3k36me3_body
ANGPTL2	h3k36me3_body
ANGPTL3	h3k36me3_body
ANGPTL4	h3k36me3_body
ANGPTL5	h3k36me3_body
ANGPTL6	h3k36me3_body
ANGPTL7	h3k36me3_body
ANGPTL8	h3k36me3_body
ANHX	h3k36me3_body
ANK1	h3k36me3_body
ANK2	h3k36me3_body
ANK3	h3k36me3_body
ANKAR	h3k36me3_body
ANKDD1B	h3k36me3_body
ANKEF1	h3k36me3_body
ANKFN1	h3k36me3_body
ANKFY1	h3k36me3_body
ANKH	h3k36me3_body
ANKHD1	h3k36me3_body
ANKHD1-EIF4EBP3	h3k36me3_body
ANKIB1	h3k36me3_body
ANKK1	h3k36me3_body
ANKLE1	h3k36me3_body
ANKLE2	h3k36me3_body
ANKMY1	h3k36me3_body
ANKMY2	h3k36me3_body
ANKRA2	h3k36me3_body
ANKRD1	h3k36me3_body
ANKRD10	h3k36me3_body
ANKRD11	h3k36me3_body
ANKRD12	h3k36me3_body
ANKRD13A	h3k36me3_body
ANKRD13B	h3k36me3_body
ANKRD13C	h3k36me3_body
ANKRD13D	h3k36me3_body
ANKRD16	h3k36me3_body
ANKRD17	h3k36me3_body
ANKRD18A	h3k36me3_body
ANKRD18B	h3k36me3_body
ANKRD18CP	h3k36me3_body
ANKRD18DP	h3k36me3_body
ANKRD19P	h3k36me3_body
ANKRD2	h3k36me3_body
ANKRD20A1	h3k36me3_body
ANKRD20A11P	h3k36me3_body
ANKRD20A12P	h3k36me3_body
ANKRD20A19P	h3k36me3_body
ANKRD20A2	h3k36me3_body
ANKRD20A3	h3k36me3_body
ANKRD20A4	h3k36me3_body
ANKRD20A5P	h3k36me3_body
ANKRD20A8P	h3k36me3_body
ANKRD20A9P	h3k36me3_body
ANKRD22	h3k36me3_body
ANKRD23	h3k36me3_body
ANKRD24	h3k36me3_body
ANKRD26	h3k36me3_body
ANKRD26P1	h3k36me3_body
ANKRD26P3	h3k36me3_body
ANKRD27	h3k36me3_body
ANKRD28	h3k36me3_body
ANKRD29	h3k36me3_body
ANKRD30A	h3k36me3_body
ANKRD30B	h3k36me3_body
ANKRD30BL	h3k36me3_body
ANKRD30BP2	h3k36me3_body
ANKRD30BP3	h3k36me3_body
ANKRD31	h3k36me3_body
ANKRD33	h3k36me3_body
ANKRD33B	h3k36me3_body
ANKRD34A	h3k36me3_body
ANKRD34B	h3k36me3_body
ANKRD35	h3k36me3_body
ANKRD36	h3k36me3_body
ANKRD36B	h3k36me3_body
ANKRD36BP1	h3k36me3_body
ANKRD36BP2	h3k36me3_body
ANKRD36C	h3k36me3_body
ANKRD37	h3k36me3_body
ANKRD39	h3k36me3_body
ANKRD40	h3k36me3_body
ANKRD42	h3k36me3_body
ANKRD44	h3k36me3_body
ANKRD44-IT1	h3k36me3_body
ANKRD45	h3k36me3_body
ANKRD46	h3k36me3_body
ANKRD49	h3k36me3_body
ANKRD50	h3k36me3_body
ANKRD52	h3k36me3_body
ANKRD53	h3k36me3_body
ANKRD54	h3k36me3_body
ANKRD55	h3k36me3_body
ANKRD6	h3k36me3_body
ANKRD60	h3k36me3_body
ANKRD61	h3k36me3_body
ANKRD62	h3k36me3_body
ANKRD62P1-PARP4P3	h3k36me3_body
ANKRD65	h3k36me3_body
ANKRD66	h3k36me3_body
ANKRD7	h3k36me3_body
ANKRD9	h3k36me3_body
ANKS1A	h3k36me3_body
ANKS1B	h3k36me3_body
ANKS3	h3k36me3_body
ANKS4B	h3k36me3_body
ANKS6	h3k36me3_body
ANKUB1	h3k36me3_body
ANKZF1	h3k36me3_body
ANLN	h3k36me3_body
ANO1	h3k36me3_body
ANO1-AS2	h3k36me3_body
ANO10	h3k36me3_body
ANO2	h3k36me3_body
ANO3	h3k36me3_body
ANO4	h3k36me3_body
ANO5	h3k36me3_body
ANO6	h3k36me3_body
ANO7	h3k36me3_body
ANO8	h3k36me3_body
ANO9	h3k36me3_body
ANOS1	h3k36me3_body
ANP32B	h3k36me3_body
ANP32C	h3k36me3_body
ANP32D	h3k36me3_body
ANP32E	h3k36me3_body
ANTXR1	h3k36me3_body
ANTXR2	h3k36me3_body
ANTXRL	h3k36me3_body
ANTXRLP1	h3k36me3_body
ANXA1	h3k36me3_body
ANXA10	h3k36me3_body
ANXA11	h3k36me3_body
ANXA13	h3k36me3_body
ANXA2P1	h3k36me3_body
ANXA2P2	h3k36me3_body
ANXA2P3	h3k36me3_body
ANXA2R	h3k36me3_body
ANXA3	h3k36me3_body
ANXA4	h3k36me3_body
ANXA5	h3k36me3_body
ANXA6	h3k36me3_body
ANXA7	h3k36me3_body
ANXA8	h3k36me3_body
ANXA8L1	h3k36me3_body
ANXA9	h3k36me3_body
AOAH	h3k36me3_body
AOAH-IT1	h3k36me3_body
AOC1	h3k36me3_body
AOC2	h3k36me3_body
AOC3	h3k36me3_body
AOC4P	h3k36me3_body
AOX1	h3k36me3_body
AOX3P-AOX2P	h3k36me3_body
AP1AR	h3k36me3_body
AP1B1	h3k36me3_body
AP1B1P1	h3k36me3_body
AP1G1	h3k36me3_body
AP1G2	h3k36me3_body
AP1M1	h3k36me3_body
AP1M2	h3k36me3_body
AP1S1	h3k36me3_body
AP1S2	h3k36me3_body
AP1S3	h3k36me3_body
AP2A1	h3k36me3_body
AP2A2	h3k36me3_body
AP2B1	h3k36me3_body
AP2M1	h3k36me3_body
AP2S1	h3k36me3_body
AP3B1	h3k36me3_body
AP3D1	h3k36me3_body
AP3M1	h3k36me3_body
AP3M2	h3k36me3_body
AP3S1	h3k36me3_body
AP4B1	h3k36me3_body
AP4B1-AS1	h3k36me3_body
AP4M1	h3k36me3_body
AP4S1	h3k36me3_body
